,Unnamed: 0,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
0,0,City of Ashes,Cassandra Clare,790027.0,30438.0,4.15,453,2008.0,True,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Fantasy Supernatural', 'Paranormal Angels', 'Fantasy Magic']",2,United States,https://www.goodreads.com//book/show/1582996.City_of_Ashes
1,1,"Hush, Hush",Becca Fitzpatrick,604902.0,25701.0,3.95,391,2009.0,True,"['Young Adult', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Paranormal Angels', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1,United States,https://www.goodreads.com//book/show/6339664-hush-hush
2,2,City of Glass,Cassandra Clare,834607.0,29071.0,4.3,541,2009.0,True,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Magic']",3,United States,https://www.goodreads.com//book/show/3777732-city-of-glass
3,3,Clockwork Angel,Cassandra Clare,709807.0,33615.0,4.31,479,2010.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Science Fiction Steampunk', 'Historical Historical Fiction', 'Fiction', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Paranormal Angels']",10,United Kingdom,https://www.goodreads.com//book/show/7171637-clockwork-angel
4,4,Marked,P.C. Cast,448105.0,14504.0,3.8,306,2007.0,True,"['Young Adult', 'Fantasy', 'Paranormal Vampires', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Young Adult Teen']",1,United States,https://www.goodreads.com//book/show/30183.Marked
5,5,Graceling,Kristin Cashore,405433.0,23013.0,4.07,471,2008.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Adventure', 'Young Adult Young Adult Fantasy', 'Fantasy Magic', 'Fantasy High Fantasy', 'Young Adult Teen', 'Fantasy Paranormal']",18,,https://www.goodreads.com//book/show/3236307-graceling
6,6,Shiver,Maggie Stiefvater,448203.0,23237.0,3.76,392,2009.0,True,"['Young Adult', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Shapeshifters Werewolves', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Young Adult Teen']",12,United States,https://www.goodreads.com//book/show/6068551-shiver
7,7,Frostbite,Richelle Mead,324067.0,11587.0,4.26,327,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",0,United States,https://www.goodreads.com//book/show/2282133.Frostbite
8,8,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,180538.0,7608.0,3.82,284,2006.0,True,"['Young Adult', 'Romance', 'Mystery', 'Contemporary', 'Fiction', 'Spy Thriller Espionage', 'Womens Fiction Chick Lit', 'Adventure', 'Young Adult Teen', 'Realistic Fiction']",2,United States,https://www.goodreads.com//book/show/852470.I_d_Tell_You_I_Love_You_But_Then_I_d_Have_to_Kill_You
9,9,Matched,Ally Condie,681163.0,33513.0,3.65,369,2010.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Romance', 'Science Fiction', 'Fiction', 'Fantasy', 'Young Adult Teen', 'Audiobook', 'Futuristic', 'Apocalyptic Post Apocalyptic']",11,,https://www.goodreads.com//book/show/7735333-matched
