title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,minmax_norm_ratings,mean_norm_ratings,genres,award
City of Ashes,Cassandra Clare,790027,30438,4.15,453,2008,True,6.02,5.76,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Fantasy Supernatural', 'Paranormal Angels', 'Fantasy Magic']",2
"Hush, Hush",Becca Fitzpatrick,604902,25701,3.95,391,2009,True,4.98,5.25,"['Young Adult', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Paranormal Angels', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1
City of Glass,Cassandra Clare,834607,29071,4.3,541,2009,True,6.79,6.15,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Magic']",3
Clockwork Angel,Cassandra Clare,709807,33615,4.31,479,2010,True,6.84,6.18,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Science Fiction Steampunk', 'Historical Historical Fiction', 'Fiction', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Paranormal Angels']",10
Marked,P.C. Cast,448105,14504,3.8,306,2007,True,4.21,4.86,"['Young Adult', 'Fantasy', 'Paranormal Vampires', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Young Adult Teen']",1
Graceling,Kristin Cashore,405433,23013,4.07,471,2008,True,5.6,5.56,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Adventure', 'Young Adult Young Adult Fantasy', 'Fantasy Magic', 'Fantasy High Fantasy', 'Young Adult Teen', 'Fantasy Paranormal']",18
Shiver,Maggie Stiefvater,448203,23237,3.76,392,2009,True,4.0,4.76,"['Young Adult', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Shapeshifters Werewolves', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Young Adult Teen']",12
Frostbite,Richelle Mead,324067,11587,4.26,327,2008,True,6.59,6.05,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",0
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,180538,7608,3.82,284,2006,True,4.31,4.91,"['Young Adult', 'Romance', 'Mystery', 'Contemporary', 'Fiction', 'Spy Thriller Espionage', 'Womens Fiction Chick Lit', 'Adventure', 'Young Adult Teen', 'Realistic Fiction']",2
Matched,Ally Condie,681163,33513,3.65,369,2010,True,3.43,4.47,"['Young Adult', 'Science Fiction Dystopia', 'Romance', 'Science Fiction', 'Fiction', 'Fantasy', 'Young Adult Teen', 'Audiobook', 'Futuristic', 'Apocalyptic Post Apocalyptic']",11
The Last Olympian,Rick Riordan,717920,25250,4.5,381,2009,True,7.83,6.67,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Magic']",4
The Angel Experiment,James Patterson,211710,9431,4.07,445,2006,True,5.6,5.56,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy Paranormal', 'Young Adult Teen', 'Action', 'Mystery', 'Fantasy Urban Fantasy']",2
Cinder,Marissa Meyer,730362,56884,4.13,400,2012,True,5.91,5.71,"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Science Fiction Dystopia', 'Retellings', 'Fiction', 'Fantasy Fairy Tales', 'Audiobook', 'Young Adult Young Adult Fantasy']",12
The Titan's Curse,Rick Riordan,739560,22826,4.34,320,2007,True,7.0,6.26,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Magic']",1
Shadow Kiss,Richelle Mead,338805,11508,4.33,443,2008,True,6.95,6.23,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",1
The Battle of the Labyrinth,Rick Riordan,791286,20899,4.39,361,2008,True,7.26,6.39,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Magic']",0
Blood Promise,Richelle Mead,289284,9958,4.3,503,2009,True,6.79,6.15,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",2
The Lost Hero,Rick Riordan,665841,23142,4.32,553,2010,True,6.9,6.2,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",3
The Selection,Kiera Cass,991843,53206,4.12,336,2012,True,5.86,5.69,"['Young Adult', 'Romance', 'Science Fiction Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Audiobook', 'Young Adult Teen', 'Womens Fiction Chick Lit', 'Young Adult Young Adult Fantasy']",2
Pretties,Scott Westerfeld,239844,10408,3.84,370,2005,True,4.41,4.96,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Science Fiction Fantasy']",0
Eldest,Christopher Paolini,376274,9883,3.99,704,2007,True,5.19,5.35,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Dragons', 'Adventure', 'Fantasy Magic', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Science Fiction Fantasy', 'Young Adult Young Adult Fantasy']",4
Legend,Marie Lu,435349,29895,4.16,305,2011,True,6.07,5.79,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Romance', 'Fantasy', 'Fiction', 'Adventure', 'Young Adult Teen', 'Audiobook', 'Action']",10
Evermore,Alyson Noel,273259,9854,3.59,301,2009,True,3.12,4.32,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fantasy Magic']",2
The Summoning,Kelley Armstrong,163305,6316,4.0,390,2008,True,5.24,5.38,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fantasy Magic', 'Romance', 'Paranormal Ghosts', 'Shapeshifters Werewolves', 'Fiction']",1
Gone,Michael  Grant,185303,10987,3.86,560,2008,True,4.52,5.01,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Fantasy Paranormal', 'Romance', 'Adventure', 'Fantasy Supernatural', 'Young Adult Teen']",1
Spirit Bound,Richelle Mead,270310,9050,4.33,489,2010,True,6.95,6.23,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",3
A Great and Terrible Beauty,Libba Bray,218264,9972,3.78,403,2003,True,4.1,4.81,"['Fantasy', 'Young Adult', 'Historical Historical Fiction', 'Fiction', 'Historical', 'Fantasy Paranormal', 'Romance', 'Fantasy Magic', 'Young Adult Teen', 'Young Adult Young Adult Fantasy']",2
The Iron King,Julie Kagawa,202575,12119,3.89,363,2010,True,4.67,5.09,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fairies Fae', 'Paranormal Fairies', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Fiction', 'Young Adult Young Adult Fantasy']",2
Last Sacrifice,Richelle Mead,264884,11399,4.37,594,2010,True,7.16,6.33,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",1
The Night Circus,Erin Morgenstern,733222,77446,4.03,391,2011,False,5.4,5.45,"['Fantasy', 'Fiction', 'Romance', 'Historical Historical Fiction', 'Fantasy Magic', 'Young Adult', 'Magical Realism', 'Adult', 'Audiobook', 'Historical']",11
Betrayed,P.C. Cast,248937,5571,3.92,310,2007,True,4.83,5.17,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",0
Wicked Lovely,Melissa Marr,162302,7137,3.69,328,2007,True,3.64,4.58,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Paranormal Fairies', 'Fairies Fae', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Magic']",3
Chosen,P.C. Cast,227800,4437,3.91,307,2008,True,4.78,5.14,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic']",0
The Graveyard Book,Neil Gaiman,460950,32765,4.13,307,2008,False,5.91,5.71,"['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Childrens Middle Grade', 'Childrens', 'Fantasy Paranormal', 'Audiobook', 'Paranormal Ghosts', 'Fantasy Supernatural']",18
City of Fallen Angels,Cassandra Clare,511335,23768,4.11,425,2011,True,5.81,5.66,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Magic']",1
Untamed,P.C. Cast,221854,3669,3.94,338,2008,True,4.93,5.22,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",0
